candle_num,timestamp,slug,title,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate,decision_btc_price,decision_delta
30,2026-02-22T23:55:01.129571+00:00,btc-updown-5m-1771804200,"Bitcoin Up or Down - February 22, 6:50PM-6:55PM ET",67592.81,67647.81,55.00,UP,BUY_UP,UP,0.5300,5.00,True,4.4340,88.68,10.9611,20.9611,63.6,67593.99,1.18
31,2026-02-23T00:05:01.135177+00:00,btc-updown-5m-1771804800,"Bitcoin Up or Down - February 22, 7:00PM-7:05PM ET",67643.40,67614.30,-29.10,DOWN,BUY_DOWN,DOWN,0.5700,5.00,True,3.7719,75.44,14.7330,24.7330,66.7,67638.01,-5.39
32,2026-02-23T00:15:01.146349+00:00,btc-updown-5m-1771805400,"Bitcoin Up or Down - February 22, 7:10PM-7:15PM ET",67648.75,67630.21,-18.54,DOWN,BUY_DOWN,DOWN,0.6000,5.00,True,3.3333,66.67,18.0663,28.0663,69.2,67643.36,-5.39
33,2026-02-23T00:25:01.139325+00:00,btc-updown-5m-1771806000,"Bitcoin Up or Down - February 22, 7:20PM-7:25PM ET",67567.04,67480.54,-86.50,DOWN,SKIP_EXPENSIVE,,0.6100,0.00,False,0.0000,0.00,18.0663,28.0663,69.2,67552.40,-14.64
34,2026-02-23T00:35:01.148070+00:00,btc-updown-5m-1771806600,"Bitcoin Up or Down - February 22, 7:30PM-7:35PM ET",67474.01,67304.19,-169.82,DOWN,BUY_DOWN,DOWN,0.5100,5.00,True,4.8039,96.08,22.8703,32.8703,71.4,67464.24,-9.77
35,2026-02-23T00:45:01.116163+00:00,btc-updown-5m-1771807200,"Bitcoin Up or Down - February 22, 7:40PM-7:45PM ET",67199.09,67178.00,-21.09,DOWN,SKIP_EXPENSIVE,,0.6700,0.00,False,0.0000,0.00,22.8703,32.8703,71.4,67223.21,24.12
36,2026-02-23T00:55:01.128815+00:00,btc-updown-5m-1771807800,"Bitcoin Up or Down - February 22, 7:50PM-7:55PM ET",67092.54,67151.71,59.17,UP,BUY_UP,UP,0.5600,5.00,True,3.9286,78.57,26.7988,36.7988,73.3,67098.51,5.97
37,2026-02-23T01:05:01.153693+00:00,btc-updown-5m-1771808400,"Bitcoin Up or Down - February 22, 8:00PM-8:05PM ET",66740.47,66444.84,-295.63,DOWN,SKIP_EXPENSIVE,,0.6400,0.00,False,0.0000,0.00,26.7988,36.7988,73.3,66647.51,-92.96
38,2026-02-23T01:15:01.221188+00:00,btc-updown-5m-1771809000,"Bitcoin Up or Down - February 22, 8:10PM-8:15PM ET",65561.01,65490.99,-70.02,DOWN,BUY_DOWN,DOWN,0.5000,5.00,True,5.0000,100.00,31.7988,41.7988,75.0,65415.65,-145.36
39,2026-02-23T01:25:01.197531+00:00,btc-updown-5m-1771809600,"Bitcoin Up or Down - February 22, 8:20PM-8:25PM ET",65111.18,65040.42,-70.76,DOWN,BUY_UP,UP,0.5100,5.00,False,-5.0000,-100.00,26.7988,36.7988,70.6,65196.15,84.97
40,2026-02-23T01:35:01.121693+00:00,btc-updown-5m-1771810200,"Bitcoin Up or Down - February 22, 8:30PM-8:35PM ET",65050.01,65220.41,170.40,UP,BUY_DOWN,DOWN,0.5600,5.00,False,-5.0000,-100.00,21.7988,31.7988,66.7,65011.82,-38.19
41,2026-02-23T01:45:01.128655+00:00,btc-updown-5m-1771810800,"Bitcoin Up or Down - February 22, 8:40PM-8:45PM ET",65377.07,65124.19,-252.88,DOWN,SKIP_EXPENSIVE,,0.7200,0.00,False,0.0000,0.00,21.7988,31.7988,66.7,65272.25,-104.82
42,2026-02-23T01:55:01.126494+00:00,btc-updown-5m-1771811400,"Bitcoin Up or Down - February 22, 8:50PM-8:55PM ET",64653.47,64442.84,-210.63,DOWN,BUY_UP,UP,0.5800,5.00,False,-5.0000,-100.00,16.7988,26.7988,63.2,64703.49,50.02
43,2026-02-23T02:05:01.123420+00:00,btc-updown-5m-1771812000,"Bitcoin Up or Down - February 22, 9:00PM-9:05PM ET",64427.65,64605.57,177.92,UP,SKIP_COOLDOWN,,0.0000,0.00,False,0.0000,0.00,16.7988,26.7988,63.2,64355.90,-71.75
44,2026-02-23T02:15:01.109437+00:00,btc-updown-5m-1771812600,"Bitcoin Up or Down - February 22, 9:10PM-9:15PM ET",64741.00,64779.97,38.97,UP,SKIP_COOLDOWN,,0.0000,0.00,False,0.0000,0.00,16.7988,26.7988,63.2,64781.30,40.30
45,2026-02-23T02:25:01.127340+00:00,btc-updown-5m-1771813200,"Bitcoin Up or Down - February 22, 9:20PM-9:25PM ET",64700.01,64545.80,-154.21,DOWN,SKIP_COOLDOWN,,0.0000,0.00,False,0.0000,0.00,16.7988,26.7988,63.2,64752.14,52.13
46,2026-02-23T02:35:01.133146+00:00,btc-updown-5m-1771813800,"Bitcoin Up or Down - February 22, 9:30PM-9:35PM ET",64750.05,64908.03,157.98,UP,BUY_UP,UP,0.6000,5.00,True,3.3333,66.67,20.1322,30.1322,65.0,64773.04,22.99
47,2026-02-23T02:45:01.137688+00:00,btc-updown-5m-1771814400,"Bitcoin Up or Down - February 22, 9:40PM-9:45PM ET",64772.89,64844.68,71.79,UP,BUY_DOWN,DOWN,0.6000,5.00,False,-5.0000,-100.00,15.1322,25.1322,61.9,64716.97,-55.92
