candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
120,2026-02-20T01:25:00.007489+00:00,btc-updown-5m-1771550400,"Bitcoin Up or Down - February 19, 8:20PM-8:25PM ET",01:20:00 UTC,01:25:00 UTC,67222.07,67166.52,-55.55,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
121,2026-02-20T01:35:00.992100+00:00,btc-updown-5m-1771551000,"Bitcoin Up or Down - February 19, 8:30PM-8:35PM ET",01:30:00 UTC,01:35:00 UTC,67204.20,67251.23,47.03,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
122,2026-02-20T01:45:00.999256+00:00,btc-updown-5m-1771551600,"Bitcoin Up or Down - February 19, 8:40PM-8:45PM ET",01:40:00 UTC,01:45:00 UTC,67306.90,67319.46,12.56,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
123,2026-02-20T01:55:00.957596+00:00,btc-updown-5m-1771552200,"Bitcoin Up or Down - February 19, 8:50PM-8:55PM ET",01:50:00 UTC,01:55:00 UTC,67244.01,67227.05,-16.96,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
124,2026-02-20T02:05:00.953820+00:00,btc-updown-5m-1771552800,"Bitcoin Up or Down - February 19, 9:00PM-9:05PM ET",02:00:00 UTC,02:05:00 UTC,67284.17,67338.08,53.91,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
125,2026-02-20T02:15:00.920857+00:00,btc-updown-5m-1771553400,"Bitcoin Up or Down - February 19, 9:10PM-9:15PM ET",02:10:00 UTC,02:15:00 UTC,67313.50,67281.35,-32.15,DOWN,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
126,2026-02-20T02:25:00.966038+00:00,btc-updown-5m-1771554000,"Bitcoin Up or Down - February 19, 9:20PM-9:25PM ET",02:20:00 UTC,02:25:00 UTC,67295.68,67226.00,-69.68,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
127,2026-02-20T02:35:00.937529+00:00,btc-updown-5m-1771554600,"Bitcoin Up or Down - February 19, 9:30PM-9:35PM ET",02:30:00 UTC,02:35:00 UTC,67201.90,67229.23,27.33,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
128,2026-02-20T02:45:00.901637+00:00,btc-updown-5m-1771555200,"Bitcoin Up or Down - February 19, 9:40PM-9:45PM ET",02:40:00 UTC,02:45:00 UTC,67291.91,67304.24,12.33,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
129,2026-02-20T02:55:00.962961+00:00,btc-updown-5m-1771555800,"Bitcoin Up or Down - February 19, 9:50PM-9:55PM ET",02:50:00 UTC,02:55:00 UTC,67305.16,67263.53,-41.63,DOWN,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
130,2026-02-20T03:05:00.954601+00:00,btc-updown-5m-1771556400,"Bitcoin Up or Down - February 19, 10:00PM-10:05PM ET",03:00:00 UTC,03:05:00 UTC,67242.03,67297.40,55.37,UP,SKIP_NO_ASKS,,0.0000,0.00,False,0.0000,0.00,0.1250,10.1250,100.0
