candle_num,timestamp,slug,title,candle_start,candle_end,btc_open,btc_close,btc_delta,actual_direction,decision,side_bought,buy_price,bet_amount,won,pnl,pnl_pct,cumulative_pnl,balance,win_rate
11,2026-02-20T20:30:00.033950+00:00,btc-updown-5m-1771619100,"Bitcoin Up or Down - February 20, 3:25PM-3:30PM ET",20:25:00 UTC,20:30:00 UTC,67662.75,67580.10,-82.65,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
12,2026-02-20T20:40:00.010219+00:00,btc-updown-5m-1771619700,"Bitcoin Up or Down - February 20, 3:35PM-3:40PM ET",20:35:00 UTC,20:40:00 UTC,67574.01,67679.24,105.23,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
13,2026-02-20T20:50:00.001445+00:00,btc-updown-5m-1771620300,"Bitcoin Up or Down - February 20, 3:45PM-3:50PM ET",20:45:00 UTC,20:50:00 UTC,67734.00,67694.37,-39.63,DOWN,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
14,2026-02-20T21:00:00.026701+00:00,btc-updown-5m-1771620900,"Bitcoin Up or Down - February 20, 3:55PM-4:00PM ET",20:55:00 UTC,21:00:00 UTC,67690.01,67750.40,60.39,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
15,2026-02-20T21:10:00.006616+00:00,btc-updown-5m-1771621500,"Bitcoin Up or Down - February 20, 4:05PM-4:10PM ET",21:05:00 UTC,21:10:00 UTC,67664.56,67775.21,110.65,UP,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
16,2026-02-20T21:20:00.029228+00:00,btc-updown-5m-1771622100,"Bitcoin Up or Down - February 20, 4:15PM-4:20PM ET",21:15:00 UTC,21:20:00 UTC,67720.54,67731.99,11.45,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
17,2026-02-20T21:30:00.025225+00:00,btc-updown-5m-1771622700,"Bitcoin Up or Down - February 20, 4:25PM-4:30PM ET",21:25:00 UTC,21:30:00 UTC,67721.86,67746.05,24.19,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
18,2026-02-20T21:40:00.022669+00:00,btc-updown-5m-1771623300,"Bitcoin Up or Down - February 20, 4:35PM-4:40PM ET",21:35:00 UTC,21:40:00 UTC,67736.28,67799.70,63.42,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
19,2026-02-20T21:50:00.005862+00:00,btc-updown-5m-1771623900,"Bitcoin Up or Down - February 20, 4:45PM-4:50PM ET",21:45:00 UTC,21:50:00 UTC,67764.01,67801.81,37.80,UP,SKIP_EXPENSIVE,,0.9800,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
20,2026-02-20T22:00:00.032881+00:00,btc-updown-5m-1771624500,"Bitcoin Up or Down - February 20, 4:55PM-5:00PM ET",21:55:00 UTC,22:00:00 UTC,67796.31,67825.87,29.56,UP,SKIP_RISKY,,0.0000,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
21,2026-02-20T22:10:00.022964+00:00,btc-updown-5m-1771625100,"Bitcoin Up or Down - February 20, 5:05PM-5:10PM ET",22:05:00 UTC,22:10:00 UTC,67788.81,67746.73,-42.08,DOWN,SKIP_WIDE_SPREAD,,0.9700,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
22,2026-02-20T22:20:00.019340+00:00,btc-updown-5m-1771625700,"Bitcoin Up or Down - February 20, 5:15PM-5:20PM ET",22:15:00 UTC,22:20:00 UTC,67659.40,67777.03,117.63,UP,SKIP_EXPENSIVE,,0.9900,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
23,2026-02-20T22:30:00.038134+00:00,btc-updown-5m-1771626300,"Bitcoin Up or Down - February 20, 5:25PM-5:30PM ET",22:25:00 UTC,22:30:00 UTC,67968.00,67936.48,-31.52,DOWN,SKIP_THIN_BOOK,,0.9500,0.00,False,0.0000,0.00,0.8708,10.8708,100.0
